Order ID,Product ID,Category,Sub-Category,Product Name
CA-2014-143336,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1"""""
CA-2016-137330,OFF-AR-10000246,Office Supplies,Art,Newell 318
CA-2016-137330,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4'' Cord Length"
US-2017-156909,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
CA-2015-106320,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
CA-2016-121755,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders
CA-2016-121755,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
US-2015-150630,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
US-2015-150630,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
US-2015-150630,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"""
US-2015-150630,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
US-2015-150630,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
US-2015-150630,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
US-2015-150630,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons
CA-2017-107727,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper
CA-2016-117590,TEC-PH-10004977,Technology,Phones,GE 30524EE4
CA-2016-117590,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect''s Clamp-On Swing Arm Lamp, Black"
CA-2015-117415,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
CA-2015-117415,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
CA-2015-117415,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager''s Chair, Dark Gray"
CA-2015-117415,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter
CA-2017-120999,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
CA-2016-101343,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
CA-2017-139619,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
CA-2016-118255,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
CA-2016-118255,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
CA-2014-146703,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
CA-2016-169194,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
CA-2016-169194,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
CA-2015-115742,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
CA-2015-115742,OFF-LA-10002762,Office Supplies,Labels,Avery 485
CA-2015-115742,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
CA-2015-115742,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black"
CA-2016-105816,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins
CA-2016-105816,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone
CA-2016-111682,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts
CA-2016-111682,OFF-PA-10001569,Office Supplies,Paper,Xerox 232
CA-2016-111682,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair
CA-2016-111682,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
CA-2016-111682,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
CA-2016-111682,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs
CA-2016-111682,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks
CA-2015-135545,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
CA-2015-135545,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
CA-2015-135545,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943
CA-2015-135545,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
US-2015-164175,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager''s Chair, Gray"
CA-2014-106376,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
CA-2014-106376,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service
CA-2016-119823,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
CA-2016-106075,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
CA-2017-114440,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
US-2015-134026,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager''s Chair
US-2015-134026,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
US-2015-134026,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System
US-2017-118038,OFF-BI-10004182,Office Supplies,Binders,Economy Binders
US-2017-118038,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black"""
US-2017-118038,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
US-2014-147606,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
CA-2016-127208,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
CA-2016-127208,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings
CA-2014-139451,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
CA-2014-139451,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black"
CA-2015-149734,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel ''N'' Seal Padded Mailers
US-2017-119662,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
CA-2017-140088,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
CA-2017-155558,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
CA-2017-155558,OFF-LA-10000134,Office Supplies,Labels,Avery 511
CA-2016-159695,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager
CA-2016-109806,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip
CA-2016-109806,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
CA-2016-109806,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995
CA-2015-149587,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999
CA-2015-149587,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock"""
CA-2015-149587,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
US-2017-109484,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder
CA-2017-161018,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
CA-2017-157833,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders
CA-2016-149223,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors
CA-2016-158568,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards
CA-2016-158568,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
CA-2016-158568,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems
CA-2016-129903,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
US-2015-156867,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard
US-2015-156867,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
US-2015-156867,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"""
CA-2017-119004,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
CA-2017-119004,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
CA-2017-119004,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
CA-2015-129476,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard
CA-2017-146780,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp
CA-2016-128867,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
CA-2016-128867,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders"""
CA-2014-115259,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
CA-2014-115259,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
CA-2014-115259,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921
CA-2014-115259,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
CA-2015-110457,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables
US-2015-136476,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
CA-2016-103730,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque
CA-2016-103730,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
CA-2016-103730,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black"
CA-2016-103730,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes
CA-2016-103730,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
US-2014-152030,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager''s Chair
US-2014-134614,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables
US-2017-107272,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
US-2017-107272,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
US-2016-125969,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black"
US-2016-125969,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
US-2017-164147,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
US-2017-164147,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916
US-2017-164147,OFF-FA-10002780,Office Supplies,Fasteners,Staples
CA-2016-145583,OFF-PA-10001804,Office Supplies,Paper,Xerox 195
CA-2016-145583,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880
CA-2016-145583,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box"
CA-2016-145583,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps
CA-2016-145583,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips
CA-2016-145583,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors
CA-2016-145583,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
CA-2016-110366,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"""
CA-2017-106180,OFF-AR-10000940,Office Supplies,Art,Newell 343
CA-2017-106180,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes
CA-2017-106180,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911
CA-2017-155376,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
CA-2015-110744,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
CA-2014-110072,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock"""
CA-2016-114489,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C
CA-2016-114489,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger
CA-2016-114489,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
CA-2016-114489,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
CA-2016-158834,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
CA-2016-158834,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset
CA-2015-124919,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
CA-2015-124919,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883
CA-2015-124919,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
CA-2015-118948,OFF-AR-10001547,Office Supplies,Art,Newell 311
CA-2014-104269,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager''s Chair
CA-2016-114104,OFF-LA-10002475,Office Supplies,Labels,Avery 519
CA-2016-114104,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone
CA-2016-162733,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920
CA-2015-119697,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad
CA-2016-154508,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope
CA-2016-113817,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders
CA-2014-139892,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters
CA-2014-139892,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
CA-2014-139892,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
CA-2014-139892,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair
CA-2014-139892,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters
CA-2014-139892,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
CA-2014-139892,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker
CA-2014-118962,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"
CA-2014-118962,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913
CA-2014-118962,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray"
US-2014-100853,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
US-2014-100853,OFF-LA-10003148,Office Supplies,Labels,Avery 51
US-2017-152366,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
US-2015-101511,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
US-2015-101511,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener
CA-2015-137225,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
CA-2014-166191,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
CA-2014-166191,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
CA-2014-158274,TEC-PH-10003273,Technology,Phones,AT&T TR1909W
CA-2014-158274,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile)
CA-2014-158274,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard
CA-2016-105018,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets
CA-2014-123260,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
CA-2016-157000,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
CA-2016-157000,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
CA-2015-102281,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
CA-2015-102281,TEC-PH-10001552,Technology,Phones,I Need''s 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
CA-2015-102281,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
CA-2015-102281,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
CA-2015-102281,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford
CA-2015-131457,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
CA-2014-140004,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
CA-2014-140004,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
CA-2017-107720,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File
US-2017-124303,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
US-2017-124303,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
CA-2017-105074,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
CA-2014-133690,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
CA-2014-133690,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
US-2017-116701,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright
CA-2017-126382,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
CA-2017-108329,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone
CA-2017-135860,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray"
CA-2017-135860,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
CA-2017-135860,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
CA-2017-135860,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
CA-2017-135860,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
CA-2015-101007,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB
CA-2015-146262,OFF-LA-10004544,Office Supplies,Labels,Avery 505
CA-2015-146262,FUR-BO-10004695,Furniture,Bookcases,O''Sullivan 2-Door Barrister Bookcase in Odessa Pine
CA-2015-146262,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
CA-2015-146262,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
CA-2015-146262,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
CA-2016-130162,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
CA-2016-130162,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1
CA-2015-169397,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips
CA-2015-169397,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
CA-2015-169397,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
CA-2015-169397,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock"""
CA-2015-169397,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
CA-2015-169397,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners
CA-2015-163055,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
CA-2015-163055,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables
CA-2015-163055,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest
US-2015-145436,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair
US-2015-145436,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager''s Chair, Indigo"
US-2014-156216,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
US-2017-100930,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
US-2017-100930,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
US-2017-100930,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
US-2017-100930,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
US-2017-100930,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone
CA-2017-160514,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
CA-2016-157749,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957
CA-2016-157749,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
CA-2016-157749,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings
CA-2016-157749,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector
CA-2016-157749,FUR-TA-10002607,Furniture,Tables,KI Conference Tables
CA-2016-157749,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories
CA-2016-157749,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
CA-2014-131926,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager''s Chair
CA-2014-131926,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart
CA-2014-131926,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
CA-2014-131926,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17'' x 22'' Room
CA-2014-131926,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
CA-2016-154739,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
CA-2016-145625,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
CA-2016-145625,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone
CA-2016-146941,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy"
CA-2016-146941,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes
US-2015-159982,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories
US-2015-159982,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black"""
US-2015-159982,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
US-2015-159982,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone
CA-2017-163139,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub
CA-2017-163139,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving
CA-2017-163139,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch
