Order ID,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Discount Value,Profit,COGS
CA-2014-167164,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0.0,0.0,9.99,-45.51
CA-2014-143336,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0.0,0.0,2.4824,-6.0776
CA-2014-143336,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,-42.696,16.011,-154.773
CA-2014-143336,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,-4.544,7.384,-10.792
CA-2016-137330,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0.0,0.0,5.0596,-14.4004
CA-2016-137330,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0.0,0.0,15.6884,-44.6516
US-2017-156909,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-21.4116,-1.0196,-50.98
CA-2015-106320,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0.0,0.0,240.2649,-804.3651
CA-2016-121755,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,-2.3296,4.2224,-5.096
CA-2016-121755,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0.0,0.0,11.7741,-78.7959
US-2015-150630,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1541.715,-1665.0522,-3206.7672
US-2015-150630,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-6.7326,-7.0532,-9.9386
US-2015-150630,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,-24.84,15.525,-83.835
US-2015-150630,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,-0.6528,1.1016,-1.5096
US-2015-150630,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,-17.2608,9.7092,-59.334
US-2015-150630,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-4.8006,-5.715,-7.7724
US-2015-150630,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,-3.152,3.546,-9.062
CA-2017-107727,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,-5.8944,9.9468,-13.6308
CA-2016-117590,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,-219.5088,123.4737,-754.5615
CA-2016-117590,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-114.552,-147.963,-224.331
CA-2015-117415,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,-22.6656,35.415,-55.2474
CA-2015-117415,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-170.367744,-46.9764,-409.007856
CA-2015-117415,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-63.6174,-15.147,-163.5876
CA-2015-117415,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,-74.2336,41.7564,-255.178
CA-2017-120999,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,0.2,-29.4336,16.5564,-101.178
CA-2016-101343,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0.0,0.0,3.894,-73.986
CA-2017-139619,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,0.2,-19.1232,9.5616,-66.9312
CA-2016-118255,First Class,ON-18715,TEC-AC-10000171,45.98,2,0.0,0.0,19.7714,-26.2086
CA-2016-118255,First Class,ON-18715,OFF-BI-10003291,17.46,2,0.0,0.0,8.2062,-9.2538
CA-2014-146703,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0.0,0.0,8.4784,-203.4816
CA-2016-169194,Standard Class,LH-16900,TEC-AC-10002167,45.0,3,0.0,0.0,4.95,-40.05
CA-2016-169194,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0.0,0.0,6.104,-15.696
CA-2015-115742,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0.0,0.0,17.9634,-20.2566
CA-2015-115742,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0.0,0.0,35.3346,-39.8454
CA-2015-115742,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0.0,0.0,2.9568,-3.2032
CA-2015-115742,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0.0,0.0,17.0981,-72.8919
CA-2016-105816,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0.0,0.0,6.2566,-9.0034
CA-2016-105816,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0.0,0.0,298.6855,-731.2645
CA-2016-111682,First Class,TB-21055,OFF-ST-10000604,208.56,6,0.0,0.0,52.14,-156.42
CA-2016-111682,First Class,TB-21055,OFF-PA-10001569,32.4,5,0.0,0.0,15.552,-16.848
CA-2016-111682,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.1,-31.941,7.098,-280.371
CA-2016-111682,First Class,TB-21055,OFF-PA-10000587,14.56,2,0.0,0.0,6.9888,-7.5712
CA-2016-111682,First Class,TB-21055,TEC-AC-10002167,30.0,2,0.0,0.0,3.3,-26.7
CA-2016-111682,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.2,-9.696,16.362,-22.422
CA-2016-111682,First Class,TB-21055,OFF-AR-10001868,1.68,1,0.0,0.0,0.84,-0.84
CA-2015-135545,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0.0,0.0,6.1512,-7.8288
CA-2015-135545,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,-5.1648,9.3612,-11.298
CA-2015-135545,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0.0,0.0,68.9631,-77.7669
CA-2015-135545,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0.0,0.0,22.3328,-57.4272
US-2015-164175,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-63.9345,-15.2225,-164.403
CA-2014-106376,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,-222.6048,111.3024,-779.1168
CA-2014-106376,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,-33.5936,62.988,-71.3864
CA-2016-119823,First Class,KD-16270,OFF-PA-10000482,75.88,2,0.0,0.0,35.6636,-40.2164
CA-2016-106075,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,0.2,-0.9232,1.731,-1.9618
CA-2017-114440,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0.0,0.0,8.763,-10.287
US-2015-134026,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-166.3872,-114.3912,-779.94
US-2015-134026,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,-19.408,1.213,-76.419
US-2015-134026,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,0.2,-14.5568,-18.196,-76.4232
US-2017-118038,First Class,KB-16600,OFF-BI-10004182,1.248,3,0.8,-0.9984,-1.9344,-2.184
US-2017-118038,First Class,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248,-5.8248,-9.708
US-2017-118038,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.2,-5.448,2.724,-19.068
US-2014-147606,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-11.58,-14.475,-22.195
CA-2016-127208,First Class,SC-20770,OFF-AP-10002118,208.16,1,0.0,0.0,56.2032,-151.9568
CA-2016-127208,First Class,SC-20770,OFF-BI-10002309,16.74,3,0.0,0.0,8.0352,-8.7048
CA-2014-139451,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0.0,0.0,4.172,-10.728
CA-2014-139451,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0.0,0.0,6.2031,-15.1869
CA-2015-149734,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,-40.1968,62.8075,-97.9797
US-2017-119662,First Class,CS-12400,OFF-ST-10003656,230.376,3,0.2,-46.0752,-48.9549,-233.2557
CA-2017-140088,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0.0,0.0,33.2156,-268.7444
CA-2017-155558,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0.0,0.0,6.7966,-13.1934
CA-2017-155558,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,0.0,0.0,2.9568,-3.2032
CA-2016-159695,Second Class,GM-14455,OFF-ST-10003442,158.368,7,0.2,-31.6736,13.8572,-112.8372
CA-2016-109806,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,0.0,0.0,6.633,-13.467
CA-2016-109806,Standard Class,JS-15685,TEC-PH-10004093,73.584,2,0.2,-14.7168,8.2782,-50.589
CA-2016-109806,Standard Class,JS-15685,OFF-PA-10000304,6.48,1,0.0,0.0,3.1104,-3.3696
CA-2015-149587,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0.0,0.0,6.2208,-6.7392
CA-2015-149587,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0.0,0.0,16.5354,-36.8046
CA-2015-149587,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0.0,0.0,16.1504,-16.8096
US-2017-109484,Standard Class,RB-19705,OFF-BI-10004738,5.682,1,0.7,-3.9774,-3.788,-5.4926
CA-2017-161018,Second Class,PN-18775,FUR-FU-10000629,96.53,7,0.0,0.0,40.5426,-55.9874
CA-2017-157833,First Class,KD-16345,OFF-BI-10001721,51.312,3,0.2,-10.2624,17.9592,-23.0904
CA-2016-149223,Standard Class,ER-13855,OFF-AP-10000358,77.88,6,0.0,0.0,22.5852,-55.2948
CA-2016-158568,Standard Class,RB-19465,OFF-PA-10003256,64.624,7,0.2,-12.9248,22.6184,-29.0808
CA-2016-158568,Standard Class,RB-19465,TEC-AC-10001767,95.976,3,0.2,-19.1952,-10.7973,-87.5781
CA-2016-158568,Standard Class,RB-19465,OFF-BI-10002609,1.788,3,0.8,-1.4304,-3.0396,-3.3972
CA-2016-129903,Second Class,GZ-14470,OFF-PA-10004040,23.92,4,0.0,0.0,11.7208,-12.1992
US-2015-156867,Standard Class,LC-16870,TEC-AC-10001552,238.896,6,0.2,-47.7792,-26.8758,-217.9926
US-2015-156867,Standard Class,LC-16870,FUR-FU-10004006,102.36,3,0.2,-20.472,-3.8385,-85.7265
US-2015-156867,Standard Class,LC-16870,OFF-BI-10002794,36.882,3,0.7,-25.8174,-25.8174,-36.882
CA-2017-119004,Standard Class,JM-15250,TEC-AC-10003499,74.112,8,0.2,-14.8224,17.6016,-41.688
CA-2017-119004,Standard Class,JM-15250,TEC-PH-10002844,27.992,1,0.2,-5.5984,2.0994,-20.2942
CA-2017-119004,Standard Class,JM-15250,OFF-AR-10000390,3.304,1,0.2,-0.6608,1.0738,-1.5694
CA-2015-129476,Standard Class,PA-19060,TEC-AC-10000844,339.96,5,0.2,-67.992,67.992,-203.976
CA-2017-146780,Standard Class,CV-12805,FUR-FU-10001934,41.96,2,0.0,0.0,10.9096,-31.0504
CA-2016-128867,Standard Class,CL-12565,OFF-AR-10000380,75.96,2,0.0,0.0,22.788,-53.172
CA-2016-128867,Standard Class,CL-12565,OFF-BI-10003981,27.24,6,0.0,0.0,13.3476,-13.8924
CA-2014-115259,Second Class,RC-19960,OFF-FA-10000621,40.096,14,0.2,-8.0192,14.5348,-17.542
CA-2014-115259,Second Class,RC-19960,OFF-EN-10002600,4.72,2,0.2,-0.944,1.652,-2.124
CA-2014-115259,Second Class,RC-19960,OFF-PA-10004965,23.976,3,0.2,-4.7952,7.4925,-11.6883
CA-2014-115259,Second Class,RC-19960,OFF-EN-10002504,130.464,6,0.2,-26.0928,44.0316,-60.3396
CA-2015-110457,Standard Class,DK-13090,FUR-TA-10001768,787.53,3,0.0,0.0,165.3813,-622.1487
US-2015-136476,Standard Class,GG-14650,OFF-BI-10003650,157.794,1,0.7,-110.4558,-115.7156,-163.0538
CA-2016-103730,First Class,SC-20725,FUR-FU-10002157,47.04,3,0.0,0.0,18.3456,-28.6944
CA-2016-103730,First Class,SC-20725,OFF-BI-10003910,30.84,4,0.0,0.0,13.878,-16.962
CA-2016-103730,First Class,SC-20725,OFF-ST-10000777,226.56,6,0.0,0.0,63.4368,-163.1232
CA-2016-103730,First Class,SC-20725,OFF-EN-10002500,115.02,9,0.0,0.0,51.759,-63.261
CA-2016-103730,First Class,SC-20725,TEC-PH-10003875,68.04,7,0.0,0.0,19.7316,-48.3084
US-2014-152030,Second Class,AD-10180,FUR-CH-10004063,600.558,3,0.3,-180.1674,-8.5794,-428.97
US-2014-134614,Standard Class,PF-19165,FUR-TA-10004534,617.7,6,0.5,-308.85,-407.682,-716.532
US-2017-107272,Standard Class,TS-21610,OFF-BI-10003274,2.388,2,0.7,-1.6716,-1.8308,-2.5472
US-2017-107272,Standard Class,TS-21610,OFF-ST-10002974,243.992,7,0.2,-48.7984,30.499,-164.6946
US-2016-125969,Second Class,LS-16975,FUR-CH-10001146,81.424,2,0.2,-16.2848,-9.1602,-74.2994
US-2016-125969,Second Class,LS-16975,FUR-FU-10003773,238.56,3,0.0,0.0,26.2416,-212.3184
US-2017-164147,First Class,DW-13585,TEC-PH-10002293,59.97,5,0.4,-23.988,-11.994,-47.976
US-2017-164147,First Class,DW-13585,OFF-PA-10002377,78.304,2,0.2,-15.6608,29.364,-33.2792
US-2017-164147,First Class,DW-13585,OFF-FA-10002780,21.456,9,0.2,-4.2912,6.9732,-10.1916
CA-2016-145583,Standard Class,LC-16885,OFF-PA-10001804,20.04,3,0.0,0.0,9.6192,-10.4208
CA-2016-145583,Standard Class,LC-16885,OFF-PA-10001736,35.44,1,0.0,0.0,16.6568,-18.7832
CA-2016-145583,Standard Class,LC-16885,OFF-AR-10001149,11.52,4,0.0,0.0,3.456,-8.064
CA-2016-145583,Standard Class,LC-16885,OFF-FA-10002988,4.02,2,0.0,0.0,1.9698,-2.0502
CA-2016-145583,Standard Class,LC-16885,OFF-BI-10004781,76.176,3,0.2,-15.2352,26.6616,-34.2792
CA-2016-145583,Standard Class,LC-16885,OFF-SU-10001218,65.88,6,0.0,0.0,18.4464,-47.4336
CA-2016-145583,Standard Class,LC-16885,FUR-FU-10001706,43.12,14,0.0,0.0,20.6976,-22.4224
CA-2016-110366,Second Class,JD-15895,FUR-FU-10004848,82.8,2,0.2,-16.56,10.35,-55.89
CA-2017-106180,Standard Class,SH-19975,OFF-AR-10000940,8.82,3,0.0,0.0,2.3814,-6.4386
CA-2017-106180,Standard Class,SH-19975,OFF-EN-10004030,10.86,3,0.0,0.0,5.1042,-5.7558
CA-2017-106180,Standard Class,SH-19975,OFF-PA-10004327,143.7,3,0.0,0.0,68.976,-74.724
CA-2017-155376,Standard Class,SG-20080,OFF-AP-10001058,839.43,3,0.0,0.0,218.2518,-621.1782
CA-2015-110744,Standard Class,HA-14920,OFF-ST-10003656,671.93,7,0.0,0.0,20.1579,-651.7721
CA-2014-110072,Standard Class,MG-17680,FUR-FU-10000521,93.888,4,0.2,-18.7776,12.9096,-62.2008
CA-2016-114489,Standard Class,JE-16165,TEC-PH-10000215,384.45,11,0.0,0.0,103.8015,-280.6485
CA-2016-114489,Standard Class,JE-16165,TEC-PH-10001448,149.97,3,0.0,0.0,5.9988,-143.9712
CA-2016-114489,Standard Class,JE-16165,FUR-CH-10000454,1951.84,8,0.0,0.0,585.552,-1366.288
CA-2016-114489,Standard Class,JE-16165,OFF-BI-10002735,171.55,5,0.0,0.0,80.6285,-90.9215
CA-2016-158834,First Class,TW-21025,OFF-AP-10000326,157.92,5,0.2,-31.584,17.766,-108.57
CA-2016-158834,First Class,TW-21025,TEC-PH-10001254,203.184,2,0.2,-40.6368,15.2388,-147.3084
CA-2015-124919,First Class,SP-20650,OFF-PA-10001950,58.38,7,0.0,0.0,26.271,-32.109
CA-2015-124919,First Class,SP-20650,OFF-PA-10002254,105.52,4,0.0,0.0,48.5392,-56.9808
CA-2015-124919,First Class,SP-20650,OFF-ST-10001590,80.88,6,0.0,0.0,21.0288,-59.8512
CA-2015-118948,Standard Class,NK-18490,OFF-AR-10001547,6.63,3,0.0,0.0,1.7901,-4.8399
CA-2014-104269,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,-91.5136,51.4764,-314.578
CA-2016-114104,Standard Class,NP-18670,OFF-LA-10002475,14.62,2,0.0,0.0,6.8714,-7.7486
CA-2016-114104,Standard Class,NP-18670,TEC-PH-10004536,944.93,7,0.0,0.0,236.2325,-708.6975
CA-2016-162733,First Class,TT-21070,OFF-PA-10002751,5.98,1,0.0,0.0,2.691,-3.289
CA-2015-119697,Second Class,EM-13960,TEC-AC-10003657,54.384,2,0.2,-10.8768,1.3596,-42.1476
CA-2016-154508,Standard Class,RD-19900,OFF-EN-10001990,28.4,5,0.0,0.0,13.348,-15.052
CA-2016-113817,Standard Class,MJ-17740,OFF-BI-10004002,27.68,2,0.2,-5.536,9.688,-12.456
CA-2014-139892,Standard Class,BM-11140,OFF-AR-10004441,9.936,3,0.2,-1.9872,2.7324,-5.2164
CA-2014-139892,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-3263.9808,-1359.992,-6255.9632
CA-2014-139892,Standard Class,BM-11140,OFF-ST-10000991,275.928,3,0.2,-55.1856,-58.6347,-279.3771
CA-2014-139892,Standard Class,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-522.018,-24.858,-1242.9
CA-2014-139892,Standard Class,BM-11140,OFF-AR-10002656,32.064,6,0.2,-6.4128,6.8136,-18.8376
CA-2014-139892,Standard Class,BM-11140,OFF-AP-10002518,177.98,5,0.8,-142.384,-453.849,-489.445
CA-2014-139892,Standard Class,BM-11140,TEC-PH-10003931,143.976,3,0.2,-28.7952,8.9985,-106.1823
CA-2014-118962,Standard Class,CS-12130,OFF-PA-10000659,20.94,3,0.0,0.0,9.8418,-11.0982
CA-2014-118962,Standard Class,CS-12130,OFF-PA-10001144,110.96,2,0.0,0.0,53.2608,-57.6992
CA-2014-118962,Standard Class,CS-12130,FUR-CH-10003817,340.144,7,0.2,-68.0288,21.259,-250.8562
US-2014-100853,Standard Class,JB-15400,OFF-AP-10000891,52.448,2,0.8,-41.9584,-131.12,-141.6096
US-2014-100853,Standard Class,JB-15400,OFF-LA-10003148,20.16,4,0.2,-4.032,6.552,-9.576
US-2017-152366,Second Class,SJ-20500,OFF-AP-10002684,97.264,4,0.8,-77.8112,-243.16,-262.6128
US-2015-101511,Second Class,JE-15745,FUR-CH-10004698,396.802,7,0.3,-119.0406,-11.3372,-289.0986
US-2015-101511,Second Class,JE-15745,OFF-SU-10002189,15.88,5,0.2,-3.176,-3.7715,-16.4755
CA-2015-137225,Standard Class,JK-15640,OFF-AR-10001940,3.28,1,0.0,0.0,1.4104,-1.8696
CA-2014-166191,Second Class,DK-13150,OFF-ST-10003455,24.816,2,0.2,-4.9632,1.8612,-17.9916
CA-2014-166191,Second Class,DK-13150,TEC-AC-10004659,408.744,7,0.2,-81.7488,76.6395,-250.3557
CA-2014-158274,Second Class,RM-19675,TEC-PH-10003273,503.96,4,0.0,0.0,131.0296,-372.9304
CA-2014-158274,Second Class,RM-19675,TEC-PH-10004896,149.95,5,0.0,0.0,41.986,-107.964
CA-2014-158274,Second Class,RM-19675,TEC-AC-10002345,29.0,2,0.0,0.0,7.25,-21.75
CA-2016-105018,Standard Class,SK-19990,OFF-BI-10001890,7.16,2,0.0,0.0,3.4368,-3.7232
CA-2014-123260,Standard Class,FM-14290,TEC-AC-10002323,176.8,8,0.0,0.0,22.984,-153.816
CA-2016-157000,Standard Class,AM-10360,OFF-ST-10001328,37.224,3,0.2,-7.4448,3.7224,-26.0568
CA-2016-157000,Standard Class,AM-10360,OFF-PA-10001950,20.016,3,0.2,-4.0032,6.255,-9.7578
CA-2015-102281,First Class,MP-17470,FUR-BO-10002613,899.136,4,0.2,-179.8272,112.392,-606.9168
CA-2015-102281,First Class,MP-17470,TEC-PH-10001552,71.76,6,0.0,0.0,20.0928,-51.6672
CA-2015-102281,First Class,MP-17470,OFF-PA-10000061,51.84,8,0.0,0.0,24.8832,-26.9568
CA-2015-102281,First Class,MP-17470,FUR-BO-10002545,626.352,3,0.2,-125.2704,46.9764,-454.1052
CA-2015-102281,First Class,MP-17470,OFF-AR-10003514,19.9,5,0.0,0.0,6.567,-13.333
CA-2015-131457,Standard Class,MZ-17515,OFF-EN-10001509,14.28,7,0.0,0.0,6.7116,-7.5684
CA-2014-140004,Standard Class,CB-12025,OFF-AR-10004685,7.408,2,0.2,-1.4816,1.2038,-4.7226
CA-2014-140004,Standard Class,CB-12025,OFF-AR-10004027,6.048,3,0.2,-1.2096,1.5876,-3.2508
CA-2017-107720,Standard Class,VM-21685,OFF-ST-10001414,46.26,3,0.0,0.0,12.0276,-34.2324
US-2017-124303,Standard Class,FH-14365,OFF-BI-10000343,2.946,2,0.7,-2.0622,-2.2586,-3.1424
US-2017-124303,Standard Class,FH-14365,OFF-PA-10002749,16.056,3,0.2,-3.2112,5.8203,-7.0245
CA-2017-105074,Standard Class,MB-17305,OFF-PA-10002666,21.744,3,0.2,-4.3488,6.795,-10.6002
CA-2014-133690,First Class,BS-11755,FUR-TA-10004289,218.75,2,0.5,-109.375,-161.875,-271.25
CA-2014-133690,First Class,BS-11755,OFF-AP-10003622,2.6,1,0.2,-0.52,0.2925,-1.7875
US-2017-116701,Second Class,LC-17140,OFF-AP-10003217,66.284,2,0.8,-53.0272,-178.9668,-192.2236
CA-2017-126382,Standard Class,HK-14890,FUR-FU-10002960,35.168,7,0.2,-7.0336,9.6712,-18.4632
CA-2017-108329,Standard Class,LE-16810,TEC-PH-10001918,444.768,4,0.2,-88.9536,44.4768,-311.3376
CA-2017-135860,Standard Class,JH-15985,OFF-ST-10000642,83.92,4,0.0,0.0,5.8744,-78.0456
CA-2017-135860,Standard Class,JH-15985,TEC-PH-10001700,131.98,2,0.0,0.0,35.6346,-96.3454
CA-2017-135860,Standard Class,JH-15985,OFF-BI-10003274,15.92,4,0.0,0.0,7.4824,-8.4376
CA-2017-135860,Standard Class,JH-15985,OFF-FA-10000134,52.29,9,0.0,0.0,16.2099,-36.0801
CA-2017-135860,Standard Class,JH-15985,OFF-ST-10001522,91.99,1,0.0,0.0,3.6796,-88.3104
CA-2015-101007,Second Class,MS-17980,TEC-AC-10001266,20.8,2,0.2,-4.16,6.5,-10.14
CA-2015-146262,Standard Class,VW-21775,OFF-LA-10004544,23.68,2,0.2,-4.736,8.88,-10.064
CA-2015-146262,Standard Class,VW-21775,FUR-BO-10004695,452.45,5,0.5,-226.225,-244.323,-470.548
CA-2015-146262,Standard Class,VW-21775,TEC-PH-10002844,62.982,3,0.4,-25.1928,-14.6958,-52.485
CA-2015-146262,Standard Class,VW-21775,TEC-MA-10000864,1188.0,9,0.7,-831.6,-950.4,-1306.8
CA-2015-146262,Standard Class,VW-21775,TEC-AC-10000109,89.584,2,0.2,-17.9168,4.4792,-67.188
CA-2016-130162,Standard Class,JH-15910,OFF-ST-10001328,93.06,6,0.0,0.0,26.0568,-67.0032
CA-2016-130162,Standard Class,JH-15910,TEC-PH-10002563,302.376,3,0.2,-60.4752,22.6782,-219.2226
CA-2015-169397,First Class,JB-15925,OFF-FA-10000585,5.584,2,0.2,-1.1168,1.8148,-2.6524
CA-2015-169397,First Class,JB-15925,OFF-PA-10004000,22.704,6,0.2,-4.5408,8.2302,-9.933
CA-2015-169397,First Class,JB-15925,OFF-BI-10002852,19.776,4,0.7,-13.8432,-13.8432,-19.776
CA-2015-169397,First Class,JB-15925,FUR-FU-10000087,72.704,4,0.2,-14.5408,19.0848,-39.0784
CA-2015-169397,First Class,JB-15925,TEC-MA-10001148,479.988,4,0.7,-335.9916,-383.9904,-527.9868
CA-2015-169397,First Class,JB-15925,OFF-AR-10001958,27.168,2,0.2,-5.4336,2.7168,-19.0176
CA-2015-163055,Standard Class,DS-13180,OFF-AR-10001026,2.2,1,0.0,0.0,0.968,-1.232
CA-2015-163055,Standard Class,DS-13180,FUR-TA-10003748,622.45,5,0.0,0.0,136.939,-485.511
CA-2015-163055,Standard Class,DS-13180,OFF-ST-10002485,21.98,1,0.0,0.0,0.2198,-21.7602
US-2015-145436,Standard Class,VD-21670,FUR-CH-10004860,161.568,2,0.2,-32.3136,-28.2744,-157.5288
US-2015-145436,Standard Class,VD-21670,FUR-CH-10004477,389.696,8,0.2,-77.9392,43.8408,-267.916
US-2014-156216,Standard Class,EA-14035,OFF-BI-10001679,18.648,7,0.7,-13.0536,-12.432,-18.0264
US-2017-100930,Standard Class,CS-12400,FUR-TA-10001705,233.86,2,0.45,-105.237,-102.048,-230.671
US-2017-100930,Standard Class,CS-12400,FUR-TA-10003473,620.6145,3,0.45,-279.276525,-248.2458,-589.583775
US-2017-100930,Standard Class,CS-12400,OFF-BI-10001679,5.328,2,0.7,-3.7296,-3.552,-5.1504
US-2017-100930,Standard Class,CS-12400,FUR-FU-10004017,258.072,3,0.2,-51.6144,0.0,-206.4576
US-2017-100930,Standard Class,CS-12400,TEC-AC-10003832,617.976,3,0.2,-123.5952,-7.7247,-502.1055
CA-2017-160514,Standard Class,DB-13120,OFF-PA-10002479,10.56,2,0.0,0.0,4.752,-5.808
CA-2016-157749,Second Class,KL-16645,OFF-PA-10003349,25.92,5,0.2,-5.184,9.396,-11.34
CA-2016-157749,Second Class,KL-16645,FUR-FU-10000576,419.68,5,0.6,-251.808,-356.728,-524.6
CA-2016-157749,Second Class,KL-16645,FUR-FU-10004351,11.688,3,0.6,-7.0128,-4.6752,-9.3504
CA-2016-157749,Second Class,KL-16645,TEC-PH-10000011,31.984,2,0.2,-6.3968,11.1944,-14.3928
CA-2016-157749,Second Class,KL-16645,FUR-TA-10002607,177.225,5,0.5,-88.6125,-120.513,-209.1255
CA-2016-157749,Second Class,KL-16645,FUR-FU-10002505,4.044,3,0.6,-2.4264,-2.8308,-4.4484
CA-2016-157749,Second Class,KL-16645,OFF-AR-10004685,7.408,2,0.2,-1.4816,1.2038,-4.7226
